iter	Passed	Remaining
405	7117	8659
406	7123	8628
407	7157	8630
408	7188	8630
409	7213	8620
410	7222	8592
411	7229	8563
412	7248	8547
413	7271	8536
414	7280	8508
415	7300	8494
416	7313	8471
417	7332	8455
418	7350	8438
419	7366	8418
420	7378	8395
421	7393	8374
422	7409	8355
423	7421	8331
424	7440	8315
425	7463	8304
426	7470	8275
427	7490	8260
428	7518	8254
429	7543	8245
430	7561	8228
431	7576	8207
432	7585	8181
433	7596	8156
434	7605	8130
435	7620	8109
436	7636	8090
437	7657	8076
438	7675	8060
439	7700	8051
440	7726	8042
441	7740	8020
442	7746	7990
443	7769	7979
444	7788	7963
445	7800	7940
446	7812	7917
447	7817	7887
448	7831	7866
449	7836	7836
450	7851	7816
451	7866	7797
452	7886	7782
453	7906	7767
454	7924	7750
455	7950	7740
456	7964	7720
457	7988	7709
458	8000	7687
459	8013	7665
460	8033	7649
461	8053	7635
462	8072	7619
463	8092	7604
464	8120	7596
465	8129	7571
466	8149	7555
467	8162	7534
468	8183	7520
469	8216	7517
470	8230	7496
471	8250	7481
472	8266	7462
473	8281	7443
474	8299	7425
475	8322	7413
476	8336	7392
477	8359	7380
478	8384	7369
479	8412	7360
480	8445	7356
481	8459	7335
482	8473	7315
483	8488	7296
484	8498	7271
485	8507	7247
486	8527	7231
487	8551	7219
488	8576	7208
489	8602	7197
490	8629	7188
491	8654	7177
492	8665	7153
493	8681	7135
494	8697	7116
495	8715	7098
496	8726	7075
497	8743	7058
498	8769	7046
499	8794	7035
500	8812	7018
501	8838	7007
502	8862	6994
503	8881	6978
504	8891	6954
505	8900	6930
506	8914	6910
507	8929	6890
508	8940	6868
509	8955	6848
510	8979	6835
511	9003	6822
512	9029	6811
513	9056	6800
514	9080	6788
515	9099	6771
516	9114	6752
517	9130	6733
518	9141	6711
519	9155	6690
520	9174	6674
521	9197	6660
522	9220	6646
523	9246	6634
524	9272	6622
525	9297	6610
526	9320	6596
527	9336	6577
528	9351	6558
529	9367	6539
530	9382	6519
531	9405	6506
532	9431	6493
533	9457	6482
534	9472	6462
535	9497	6449
536	9518	6433
537	9535	6416
538	9551	6397
539	9568	6379
540	9587	6362
541	9613	6350
542	9627	6329
543	9649	6314
544	9674	6301
545	9698	6288
546	9720	6273
547	9738	6255
548	9756	6237
549	9771	6218
550	9788	6199
551	9804	6181
552	9829	6168
553	9858	6157
554	9883	6143
555	9908	6130
556	9932	6116
557	9953	6100
558	9969	6081
559	9984	6062
560	10000	6043
561	10015	6023
562	10038	6008
563	10065	5996
564	10091	5983
565	10117	5970
566	10139	5955
567	10156	5936
568	10174	5918
569	10189	5899
570	10204	5879
571	10226	5864
572	10249	5849
573	10274	5835
574	10298	5820
575	10322	5806
576	10342	5789
577	10359	5770
578	10373	5751
579	10388	5731
580	10403	5711
581	10418	5692
582	10434	5673
583	10458	5658
584	10480	5643
585	10504	5628
586	10530	5615
587	10555	5600
588	10576	5584
589	10593	5565
590	10608	5546
591	10624	5527
592	10641	5509
593	10661	5492
594	10686	5478
595	10712	5463
596	10735	5448
597	10759	5433
598	10778	5416
599	10794	5397
600	10809	5377
601	10824	5358
602	10838	5338
603	10853	5319
604	10868	5299
