iter	Logloss
0	0.6843148457
1	0.6727250336
2	0.6630737228
3	0.6520275551
4	0.6439813979
5	0.633603322
6	0.6237133081
7	0.6160157674
8	0.60907857
9	0.6016322722
10	0.5944271356
11	0.5888762669
12	0.5817534426
13	0.575533322
14	0.5702990001
15	0.5672111859
16	0.5623826041
17	0.5569749479
18	0.55208078
19	0.5473109671
20	0.5424771766
21	0.5383366868
22	0.5344692979
23	0.5332229998
24	0.5289207506
25	0.5249839852
26	0.5211955911
27	0.517886001
28	0.5144588032
29	0.511896317
30	0.5082786488
31	0.5054101511
32	0.5032936802
33	0.5014934805
34	0.5005656527
35	0.4978191142
36	0.4957731179
37	0.4934341683
38	0.4912150432
39	0.48908216
40	0.4885918433
41	0.4864502769
42	0.4843025283
43	0.4828822592
44	0.4824862994
45	0.4811319681
46	0.4800129945
47	0.4785136815
48	0.476990235
49	0.4756640961
50	0.4737858264
51	0.4725098643
52	0.4713894613
53	0.4695847122
54	0.4677783538
55	0.4665212629
56	0.4650930301
57	0.4636644926
58	0.4621339337
59	0.4612874664
60	0.4606720504
61	0.4598672373
62	0.4593685874
63	0.4583921587
64	0.4572242447
65	0.456011313
66	0.4555185775
67	0.4545506992
68	0.4537726847
69	0.4531177051
70	0.4527112146
71	0.4519214024
72	0.4509189191
73	0.4505234088
74	0.4499535783
75	0.449580981
76	0.4483824159
77	0.44806799
78	0.4471599415
79	0.4470973902
80	0.446808715
81	0.4462805067
82	0.4456863388
83	0.4452547044
84	0.4448682323
85	0.4443556373
86	0.4438008326
87	0.4433242282
88	0.4427795112
89	0.4421374887
90	0.4415049586
91	0.4409469735
92	0.4405253989
93	0.4404952711
94	0.439939856
95	0.4396942608
96	0.439454059
97	0.4389447907
98	0.438921392
99	0.4383431574
100	0.4382550468
101	0.4378473413
102	0.4375150364
103	0.4371042903
104	0.436755704
105	0.4363699631
106	0.4359430907
107	0.4357307996
108	0.4353471763
109	0.4350365455
110	0.4348007559
111	0.4344866491
112	0.4341510608
113	0.4340015392
114	0.433882749
115	0.4337195716
116	0.4335690007
117	0.4335605442
118	0.4335524242
119	0.4333750245
120	0.4329685324
121	0.4328372273
122	0.4325313097
123	0.4323293156
124	0.4318308525
125	0.431347589
126	0.4309486991
127	0.4308001846
128	0.4306443864
